age;gender;rank_U1_conclusion;rank_U2_premise;rank_U2_conclusion_1;rank_U2_conclusion_2;rank_U3_premise;rank_U3_conclusion;rank_U4_premise_1;rank_U4_premise_2;rank_U4_premise_3;rank_U4_premise_4;rank_U4_conclusion_1;rank_U4_conclusion_2;rank_U5_conclusion;rank_U6_premise;rank_U6_conclusion_1;rank_U6_conclusion_2;rank_U7_premise;rank_U7_conclusion;rank_U8_conclusion_1;rank_U8_conclusion_2;rank_U9_premise;rank_U9_conclusion
44;Male;6;10;10;9;5;6;10;10;10;10;10;10;10;10;10;10;10;8;4;6;4;3
43;Female;1;5;6;6;1;1;10;6;10;10;6;10;10;8;8;8;6;6;4;4;8;8
50;Female;8;9;8;8;5;6;9;5;4;9;8;8;9;8;8;4;8;9;8;8;8;8
40;Female;6;7;7;6;9;9;7;3;2;9;6;4;9;6;9;4;6;7;8;6;8;7
61;Female;8;9;8;8;8;8;4;5;7;7;6;7;7;8;8;8;4;4;6;5;7;7
28;Female;8;2;9;3;8;9;1;2;2;1;1;1;9;9;10;9;8;4;6;1;9;8
56;Female;8;6;8;9;5;6;3;5;8;2;2;7;9;9;9;7;5;8;8;3;5;9
34;Male;6;9;6;8;5;7;6;8;4;8;4;8;7;8;7;5;5;7;7;8;6;4
42;Male;9;9;7;8;9;7;7;9;7;7;9;9;8;8;7;8;8;8;8;7;8;6
24;Male;8;8;8;8;7;8;6;6;8;10;8;7;9;7;8;7;6;7;8;5;6;7
39;Female;9;7;9;9;10;10;10;7;5;10;5;10;8;7;4;7;4;4;8;8;9;4
42;Male;9;10;8;8;10;7;10;10;9;10;9;9;9;8;9;10;7;5;7;5;7;7
44;Female;9;10;9;10;9;10;8;9;10;8;9;10;9;8;9;10;9;10;8;9;8;10
49;Female;3;6;8;6;8;8;6;6;4;10;9;3;8;5;8;3;2;7;6;8;6;4
50;Female;8;8;7;9;10;7;10;8;9;8;10;8;10;10;8;8;9;7;6;7;8;7
37;Male;6;5;8;6;9;9;1;1;1;1;1;1;10;10;10;10;9;8;9;2;10;9
53;Female;3;7;7;8;9;9;7;2;7;3;6;9;8;5;7;3;8;6;9;3;7;8
33;Male;10;10;10;10;10;10;10;2;2;10;10;1;10;10;10;10;10;10;7;7;10;10
39;Male;5;7;6;6;7;6;6;5;6;5;7;5;5;4;5;6;4;3;6;5;4;5
29;Male;7;9;9;7;6;9;6;5;10;8;7;9;8;8;4;7;7;5;6;9;4;7
40;Female;6;7;7;7;4;4;10;4;5;10;9;5;10;8;6;8;3;3;4;4;4;6
36;Male;8;7;8;7;7;6;5;6;5;7;8;6;6;7;6;8;7;5;7;8;7;6
47;Female;9;9;9;9;10;10;6;6;7;6;6;6;10;7;8;8;9;9;8;7;6;5
38;Male;3;3;3;3;10;10;8;8;8;10;8;10;10;8;9;7;8;10;9;9;7;10
25;Female;7;5;6;4;8;7;8;9;9;9;8;8;9;8;7;8;4;8;3;2;7;8
28;Male;1;10;10;1;1;10;10;10;1;10;10;2;10;10;1;10;9;10;10;9;1;10
28;Male;2;8;8;8;10;10;5;10;10;5;10;5;10;3;10;3;10;8;10;3;8;8
42;Male;8;3;9;5;9;9;1;1;10;10;10;10;10;10;10;10;4;10;10;2;9;9
43;Female;7;9;7;9;7;6;8;9;10;8;8;10;10;9;7;9;9;10;8;10;9;9
46;Male;8;3;6;3;7;7;10;10;10;9;6;10;10;8;7;9;8;9;3;5;9;9
24;Female;6;3;6;7;7;9;5;5;6;7;7;6;8;8;6;7;4;7;9;5;7;8
25;Male;10;5;2;2;10;10;4;1;6;6;4;4;2;1;8;1;1;4;5;3;8;9
27;Male;10;10;9;10;10;9;10;9;10;8;9;8;9;10;10;9;9;10;10;9;10;9
30;Female;5;6;7;5;7;6;5;3;6;5;7;3;8;5;7;4;6;7;10;10;1;1
57;Male;9;9;9;9;10;9;10;2;8;7;4;6;8;4;6;4;2;6;8;6;8;5
36;Female;7;5;6;6;7;7;4;4;3;4;3;3;9;5;4;7;9;9;7;8;3;5
53;Male;8;9;8;8;10;10;4;10;3;9;3;9;7;8;9;6;6;8;5;8;8;7