;;;;;;;1 = started on 1 April 2021 and  2 = started on 15 April 2021;;;;;;
;;;Taken HIT 1;0 = false / 100 = true;Taken HIT 2;0 = false / 100 = true;;;;;;;
;No.;ID;R1 - R4;Assigned qualification: Completed_Part_1;R5 - R8;Assigned qualification: Completed_Part_2;Batch code;Lifetime Approval Rate for Requester's Tasks (%) on 29 April 2021;# Tasks Taken;# Tasks Approved;Last 30 days Approval Rate for Requester's Tasks (%) on 29 April 2021;# Tasks Taken;# Tasks Approved
;1;A10T0161B70BXP;Yes;100;Yes;100;B2;100;2;2;100;2;2
;2;A122LRCSBAD6DC;Yes;100;Yes;100;B1;100;2;2;100;2;2
;3;A13B52O6OQBPO;Yes;100;Yes;100;B2;100;3;3;100;2;2
;4;A17PAE30BGBO1T;Yes;100;Yes;100;B1;100;2;2;100;2;2
;5;A18SXC3JEN1O0U;Yes;100;Yes;100;B1;100;2;2;100;2;2
;6;A19HMCT6V15WRU;Yes;100;No;0;B2;100;1;1;100;1;1
;7;A1G187YBG0DVMQ;Yes;100;Yes;100;B1;100;2;2;100;2;2
;8;A1IS0218RVG60K;Yes;100;No;0;B2;100;1;1;100;1;1
;9;A1JJYY622DGE5L;Yes;100;Yes;100;B1;100;2;2;100;2;2
;10;A1NZFJHVJ9CNTO;Yes;100;Yes;100;B1;100;3;3;100;2;2
;11;A1P2RQ166VS5BT;Yes;100;Yes;100;B1;100;2;2;100;2;2
;12;A1V2H0UF94ATWY;Yes;100;Yes;100;B2;100;3;3;100;2;2
;13;A23KAJRDVCVGOE;Yes;100;Yes;100;B1;100;3;3;100;2;2
;14;A2EMTSJS47K8SU;Yes;100;Yes;100;B1;100;2;2;100;2;2
;15;A2JCK494NV7TFX;Yes;100;No;0;B1;100;1;1;100;1;1
;16;A2MOKIEQZ0OF2M;Yes;100;No;0;B2;100;1;1;100;1;1
;17;A2P8V5SKYLL5I4;Yes;100;Yes;100;B1;100;2;2;100;2;2
;18;A2VRDE2FHCBMF8;Yes;100;Yes;100;B1;100;2;2;100;2;2
;19;A308FEI88TJ8WV;Yes;100;Yes;100;B1;100;2;2;100;2;2
;20;A348NEQKS6VNIB;Yes;100;No;0;B2;100;1;1;100;1;1
;21;A34CPKFZXBX1PO;Yes;100;Yes;100;B1;100;3;3;100;2;2
;22;A34DYM8J0X5VK;Yes;100;Yes;100;B1;100;2;2;100;2;2
;23;A3CTXNQ2GXIQSP;Yes;100;Yes;100;B2;100;2;2;100;2;2
;24;A3D2U4QF7821ZW;Yes;100;No;0;B2;100;1;1;100;1;1
;25;A3FBC5W56LKQXL;Yes;100;No;0;B2;100;1;1;100;1;1
;26;A3FOKP72T5I4FR;Yes;100;No;0;B1;100;2;2;100;1;1
;27;A3HOBJ4PJUOCUN;Yes;100;Yes;100;B1;100;2;2;100;2;2
;28;A3JC9VPPTHNKVL;Yes;100;Yes;100;B1;100;2;2;100;2;2
;29;A3QOMMIZTW0XF1;Yes;100;No;0;B2;100;1;1;100;1;1
;30;A3RD4M6HFHIO7Z;Yes;100;No;0;B2;100;1;1;100;1;1
;31;A7204W9E8IR1R;Yes;100;Yes;100;B1;100;3;3;100;2;2
;32;A7P3R1AIA4TVV;Yes;100;Yes;100;B2;100;2;2;100;2;2
;33;ADAL2H41ZBWAK;Yes;100;Yes;100;B1;100;2;2;100;2;2
;34;AGC307XG0RIR4;Yes;100;Yes;100;B1;100;2;2;100;2;2
;35;AHYTT3T8W9Y9Y;Yes;100;Yes;100;B1;100;2;2;100;2;2
;36;AIHUIAQ4922K3;Yes;100;No;0;B1;100;1;1;100;1;1
;37;AJACXA5FC5BYZ;Yes;100;No;0;B2;100;1;1;100;1;1
;38;AJM4334V07JDQ;Yes;100;Yes;100;B1;100;2;2;100;2;2
;39;AJXIC6Q5EM76P;Yes;100;Yes;100;B2;100;3;3;100;2;2
;40;AM2WGEJDWJY1I;Yes;100;Yes;100;B2;100;2;2;100;2;2
;41;AMLZT92RF3MYY;Yes;100;No;0;B2;100;1;1;100;1;1
;42;AMPMTF5IAAMK8;Yes;100;Yes;100;B2;100;2;2;100;2;2
;43;AMTTB8JUWRRM7;Yes;100;No;0;B2;100;1;1;100;1;1
;44;ANPCXN619ACW9;Yes;100;Yes;100;B2;100;2;2;100;2;2
;45;AOS2PVHT2HYTL;Yes;100;Yes;100;B2;100;3;3;100;2;2
;46;APPOO1EBDMS7M;Yes;100;Yes;100;B1;100;2;2;100;2;2
;47;AU849EHZNGV2Z;Yes;100;No;0;B2;100;1;1;100;1;1
;48;AW0K78T4I2T72;Yes;100;Yes;100;B1;100;2;2;100;2;2
;49;AWKJJC3QFU9VW;Yes;100;Yes;100;B1;100;2;2;100;2;2
;50;AZ8JL3QNIPY4U;Yes;100;Yes;100;B2;100;2;2;100;2;2
;;;;;;;;;;;;;