"Timestamp","Enter the survey access code / batch code here: ","Select only the image which contains a mobile smartphone in this Google Form.","I agree to participate in this research","Please confirm that you satisfy all the inclusion criteria by selecting the checkboxes that apply to you","Age","Gender","The new information (2) follows from the result of updating 𝜓 with new information (1), and the new information (1) follows from the result of updating 𝜓 with new information (2).","The result of updating 𝜓 with the new information (2) follows from the result of updating 𝜓 with the new information (1).","The result of updating 𝜓 with the new information (1) follows from the result of updating 𝜓 with the new information (2).","𝜓 is complete.","The result of updating 𝜓 with statement (3), follows from statement (4).","Statement (7)  follows from the result of updating statement (4) with the new information (1).","The result of updating statement (4) with the new information (1), follows from statement (7).","𝜓 is complete, and the result of statement (4) ∧ new information (2) is satisfiable.","The result of updating statement (4) with new information (2), follows from the result of updating 𝜓 with statement (5).","I confirm that I have noted the above verification code for submission on Mechanical Turk.","Please type your Mechanical Turk WorkerID in the space below.","Finally, any thoughts you wish to add about your experience participating in this survey?"
"2021/06/25 2:12:42 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","42","Male","8","9","10","7","5","7","5","7","7","Yes","A23KAJRDVCVGOE",""
"2021/06/25 2:20:12 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","42","Male","8","7","8","8","8","8","7","8","6","Yes","A1QUBLZCONL4QD",""
"2021/06/25 2:21:46 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","25","Male","1","8","1","1","4","5","3","8","9","Yes","A5P12YJP805RG",""
"2021/06/25 2:28:39 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","36","Male","7","6","8","7","5","7","8","7","6","Yes","A3774HPOUKYTX7","Thanks Clayton! Good luck on your research."
"2021/06/25 2:30:14 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","47","Female","7","8","8","9","9","8","7","6","5","Yes","A3908297ZI3LES","Thank you"
"2021/06/25 2:32:02 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","39","Female","7","4","7","4","4","8","8","9","4","Yes","A1XVEKS9O73ERE",""
"2021/06/25 2:35:09 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","28","Male","10","1","10","9","10","10","9","1","10","Yes","A3FPBLKQZ3U2WP","Nice task and thanks for the opportunity"
"2021/06/25 2:36:23 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","61","Female","8","8","8","4","4","6","5","7","7","Yes","A1GKD3NG1NNHRP",""
"2021/06/25 2:38:33 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","42","Male","10","10","10","4","10","10","2","9","9","Yes","A3JC9VPPTHNKVL",""
"2021/06/25 2:42:16 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","30","Female","5","7","4","6","7","10","10","1","1","Yes","AHVM9ORYY3F5J",""
"2021/06/25 2:49:44 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","40","Female","6","9","4","6","7","8","6","8","7","Yes","A1DD23J1WBGQUU",""
"2021/06/25 2:50:51 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","28","Male","3","10","3","10","8","10","3","8","8","Yes","A3I40B0FATY8VH","No"
"2021/06/25 2:59:58 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","28","Female","9","10","9","8","4","6","1","9","8","Yes","A1J8TVICSRC70W","My head is DYING. I'm good at first - I read the statements and I actually understand what they mean. The bottom questions about statements following and satisfying confused me though. I would have like to see some examples in the directions. "
"2021/06/25 3:40:20 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","25","Female","8","7","8","4","8","3","2","7","8","Yes","A3D2U4QF7821ZW",""
"2021/06/25 3:56:23 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","27","Male","10","10","9","9","10","10","9","10","9","Yes","ACKG8OU1KHKO2",""
"2021/06/25 4:03:51 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","33","Male","8","7","5","5","7","7","8","6","4","Yes","A1PXS4M6Q60HMR","Great"
"2021/06/25 4:21:17 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","44","Male","10","10","10","10","8","4","6","4","3","Yes","A147F5PJTHOB8A","This was very challenging but I enjoyed making my judgements"
"2021/06/25 4:28:42 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","24","Female","8","6","7","4","7","9","5","7","8","Yes","A49MD40UT6ABO",""
"2021/06/25 4:31:01 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","44","Female","8","9","10","9","10","8","9","8","10","Yes","A245AY2S0S7IS4","NICE"
"2021/06/25 4:52:08 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","24","Male","7","8","7","6","7","8","5","6","7","Yes","A1UZXOMO6BS6I2",""
"2021/06/25 5:30:58 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","57","Male","4","6","4","2","6","8","6","8","5","Yes","AKJ22H1NTVIQX","Sometimes I felt lost as if I was taking a quiz on a subject that was taught in a class I never attended; However did find it interesting."
"2021/06/25 6:29:30 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","56","Female","9","9","7","5","8","8","3","5","9","Yes","A1O57XVTTB1PNZ","This was quite difficult. Wish I knew the answers."
"2021/06/25 6:31:31 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","38","Male","8","9","7","8","10","9","9","7","10","Yes","A3CTXNQ2GXIQSP",""
"2021/06/25 10:18:29 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","43","Female","9","7","9","9","10","8","10","9","9","Yes","A3MXI2O3JZ0TZH",""
"2021/06/26 4:46:48 am EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","29","Male","8","4","7","7","5","6","9","4","7","Yes","A2YFQS0N1IAN9I","No"
"2021/06/26 5:35:40 am EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","50","Female","8","8","4","8","9","8","8","8","8","Yes","A1C2R8Y61M8VKJ","Flexibility and attractiveness are key when it comes to creating good forms. I found in this survey."
"2021/06/26 11:52:03 am EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","53","Male","8","9","6","6","8","5","8","8","7","Yes","AZNIEFUIVB2H0",""
"2021/06/26 5:22:50 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","36","Female","5","4","7","9","9","7","8","3","5","Yes","AQV468FB908WI","No"
"2021/06/28 2:32:03 am EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","40","Female","8","6","8","3","3","4","4","4","6","Yes","A36470UBRH28GO","Serious doubts about my accurate comprehension of the exercise."
"2021/06/28 1:45:25 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","46","Male","8","7","9","8","9","3","5","9","9","Yes","A3R5OJR60C6004","very different from the usual copy/paste research seen on Mturk"
"2021/06/28 1:51:29 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","43","Female","8","8","8","6","6","4","4","8","8","Yes","A171UXH8M8F6HS",""
"2021/06/28 1:57:47 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","49","Female","5","8","3","2","7","6","8","6","4","Yes","A27VFM67RPD2L5","Again, VERY difficult study, mostly because of having to reason out each statement while consulting the ""key"" of symbols and terms. I did my best, though. Interesting, but difficult!"
"2021/06/28 2:55:15 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","53","Female","5","7","3","8","6","9","3","7","8","Yes","A2N9U74YIPDQ9F","no comments"
"2021/06/28 3:47:02 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","50","Female","10","8","8","9","7","6","7","8","7","Yes","A2IQ0QCTQ3KWLT",""
"2021/06/28 5:13:26 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","33","Male","10","10","10","10","10","7","7","10","10","Yes","A2UGM73EHLK6XI",""
"2021/06/28 6:28:36 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","39","Male","4","5","6","4","3","6","5","4","5","Yes","A2WWYVKGZZXBOB",""
"2021/06/29 11:58:21 pm EET","BUbu2021$$","Option 2","Yes","I am 18 or older;I am currently residing in the United States of America (USA);I am fluent in English","37","Male","10","10","10","9","8","9","2","10","9","Yes","A2JCK494NV7TFX",""